C N N C N N N N N C N
34 Private Assoc-voc 11 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
48 Private Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 1
42 Private 11th 7 Married-civ-spouse Other-service Wife White Female 0 0
45 Private HS-grad 9 Never-married Adm-clerical Not-in-family White Male 3325 0
27 Private Some-college 10 Never-married Other-service Own-child White Male 0 0
51 Private 10th 6 Married-civ-spouse Other-service Husband White Male 0 0
36 Local-gov Some-college 10 Divorced Adm-clerical Unmarried White Female 0 0
33 Private Some-college 10 Never-married Exec-managerial Own-child Asian-Pac-Islander Male 0 0
50 Private Some-college 10 Never-married Farming-fishing Not-in-family White Male 0 0
44 Private Bachelors 13 Divorced Exec-managerial Unmarried White Male 0 1
39 Local-gov Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 1
55 Self-emp-not-inc 9th 5 Married-civ-spouse Farming-fishing Husband White Male 0 0
24 Private Some-college 10 Never-married Adm-clerical Own-child White Female 0 0
35 Private HS-grad 9 Never-married Sales Not-in-family White Male 0 0
32 Self-emp-not-inc 12th 8 Married-civ-spouse Craft-repair Husband White Male 0 0
68 Private HS-grad 9 Widowed Adm-clerical Not-in-family White Female 0 0
29 Private 11th 7 Married-civ-spouse Transport-moving Husband White Male 0 0
24 Self-emp-not-inc Bachelors 13 Never-married Sales Not-in-family White Male 0 0
61 Private 9th 5 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
34 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 1
55 Self-emp-inc Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 0 1
41 Private HS-grad 9 Never-married Sales Own-child White Female 0 0
36 Self-emp-not-inc HS-grad 9 Married-civ-spouse Farming-fishing Husband White Male 0 0
60 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 7298 1
61 Self-emp-not-inc HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
35 Private Prof-school 15 Married-civ-spouse Sales Husband Asian-Pac-Islander Male 0 0
42 State-gov Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
26 Private Bachelors 13 Never-married Tech-support Not-in-family White Male 0 0
44 Local-gov Some-college 10 Never-married Other-service Unmarried Black Female 0 0
31 State-gov Masters 14 Never-married Adm-clerical Not-in-family White Male 0 0
39 State-gov HS-grad 9 Never-married Other-service Not-in-family Black Male 0 0
20 Private Some-college 10 Never-married Tech-support Own-child White Female 0 0
32 Self-emp-inc Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 0
32 Self-emp-not-inc HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
61 Private 9th 5 Married-civ-spouse Machine-op-inspct Husband Black Male 0 0
54 Local-gov Some-college 10 Divorced Adm-clerical Unmarried White Female 0 0
23 Private Assoc-acdm 12 Never-married Craft-repair Other-relative White Male 0 0
19 Private HS-grad 9 Never-married Sales Own-child White Male 0 0
31 Private Some-college 10 Married-civ-spouse Prof-specialty Husband Amer-Indian-Eskimo Male 0 0
35 Private 5th-6th 3 Married-civ-spouse Handlers-cleaners Husband White Male 0 0
29 Private HS-grad 9 Divorced Other-service Not-in-family White Female 0 0
29 Local-gov HS-grad 9 Never-married Protective-serv Not-in-family Black Female 0 0
25 Private 10th 6 Separated Other-service Own-child White Female 0 0
46 Private Bachelors 13 Divorced Sales Not-in-family White Female 0 0
35 Private Assoc-voc 11 Never-married Other-service Unmarried White Female 0 0
20 Private 10th 6 Never-married Sales Not-in-family Other Male 0 0
24 Self-emp-not-inc HS-grad 9 Married-civ-spouse Adm-clerical Wife White Female 0 0
48 Private HS-grad 9 Divorced Adm-clerical Unmarried White Female 0 0
37 Private HS-grad 9 Divorced Machine-op-inspct Not-in-family White Female 0 0
60 Self-emp-not-inc HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
39 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
29 Local-gov Some-college 10 Separated Adm-clerical Unmarried White Female 0 0
31 Self-emp-not-inc Assoc-voc 11 Divorced Craft-repair Own-child White Male 0 0
38 Private Assoc-voc 11 Married-civ-spouse Craft-repair Husband White Male 4386 1
26 Self-emp-not-inc Assoc-acdm 12 Never-married Craft-repair Not-in-family White Male 0 0
64 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 15024 1
46 Private Assoc-voc 11 Divorced Protective-serv Not-in-family Black Male 0 0
39 Private HS-grad 9 Married-civ-spouse Sales Husband White Male 3103 1
48 Private HS-grad 9 Divorced Machine-op-inspct Not-in-family White Female 0 0
46 Private HS-grad 9 Divorced Sales Other-relative White Female 0 0
42 Private Bachelors 13 Divorced Sales Not-in-family White Male 0 0
39 Self-emp-not-inc HS-grad 9 Married-civ-spouse Sales Wife Black Female 0 1
50 Federal-gov Masters 14 Married-civ-spouse Tech-support Husband White Male 0 1
24 Private Bachelors 13 Never-married Prof-specialty Not-in-family White Female 0 0
30 Private Assoc-voc 11 Married-civ-spouse Tech-support Other-relative White Female 0 1
39 Self-emp-inc Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
29 Self-emp-not-inc HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
23 Private 11th 7 Never-married Transport-moving Own-child White Female 0 0
32 Private 10th 6 Separated Craft-repair Not-in-family White Male 0 0
69 Self-emp-inc Bachelors 13 Married-civ-spouse Machine-op-inspct Husband White Male 3818 0
55 Private HS-grad 9 Separated Handlers-cleaners Unmarried White Male 0 0
41 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
44 Self-emp-inc Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 7688 1
18 Private 11th 7 Never-married Adm-clerical Not-in-family White Male 0 0
74 Self-emp-not-inc Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 0
40 Private Doctorate 16 Married-civ-spouse Prof-specialty Husband White Male 0 1
27 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
55 Private HS-grad 9 Divorced Adm-clerical Not-in-family White Female 0 0
52 Self-emp-not-inc 7th-8th 4 Married-civ-spouse Craft-repair Husband Amer-Indian-Eskimo Male 0 0
54 Private Some-college 10 Divorced Sales Unmarried White Female 0 0
36 Private HS-grad 9 Divorced Craft-repair Unmarried White Male 0 0
26 Private HS-grad 9 Never-married Handlers-cleaners Own-child White Female 0 0
18 Private 11th 7 Never-married Craft-repair Own-child White Male 0 0
38 Private HS-grad 9 Divorced Exec-managerial Not-in-family White Male 0 0
50 Private Bachelors 13 Married-civ-spouse Transport-moving Husband White Male 7298 1
32 Private Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 1
57 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
20 Private HS-grad 9 Never-married Protective-serv Own-child Black Male 0 0
27 Private Some-college 10 Never-married Adm-clerical Not-in-family White Female 0 0
31 Self-emp-not-inc Bachelors 13 Married-spouse-absent Exec-managerial Not-in-family White Male 0 0
60 Private 5th-6th 3 Divorced Machine-op-inspct Not-in-family White Female 0 0
52 Private HS-grad 9 Divorced Craft-repair Unmarried White Female 0 0
61 Private 7th-8th 4 Married-civ-spouse Transport-moving Husband White Male 0 0
57 Self-emp-not-inc HS-grad 9 Widowed Craft-repair Not-in-family White Male 0 1
59 Self-emp-not-inc Prof-school 15 Married-civ-spouse Sales Husband White Male 0 0
34 Self-emp-not-inc HS-grad 9 Never-married Craft-repair Not-in-family White Male 0 1
31 Private Assoc-acdm 12 Married-civ-spouse Craft-repair Not-in-family Asian-Pac-Islander Male 0 1
42 Private HS-grad 9 Divorced Protective-serv Not-in-family Black Male 0 0
70 Private Some-college 10 Never-married Adm-clerical Not-in-family White Female 0 0
47 Private Bachelors 13 Married-civ-spouse Adm-clerical Husband Asian-Pac-Islander Male 0 1
29 Private Some-college 10 Married-civ-spouse Transport-moving Husband White Male 0 1
27 Private 11th 7 Never-married Handlers-cleaners Other-relative Black Male 0 0
25 Private 12th 8 Married-civ-spouse Other-service Wife White Female 0 0
51 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 5178 1
28 Private HS-grad 9 Never-married Other-service Own-child Black Female 0 0
35 Private Bachelors 13 Married-civ-spouse Craft-repair Husband White Male 0 0
36 Self-emp-not-inc Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 1
46 Private Assoc-voc 11 Married-civ-spouse Craft-repair Husband White Male 0 0
52 Private Assoc-voc 11 Separated Other-service Unmarried White Female 0 0
65 Private 7th-8th 4 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
43 Private Assoc-voc 11 Divorced Machine-op-inspct Not-in-family White Male 0 0
41 Local-gov HS-grad 9 Divorced Prof-specialty Unmarried Asian-Pac-Islander Female 0 0
34 Private Bachelors 13 Never-married Exec-managerial Other-relative White Female 0 0
47 Self-emp-not-inc Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 0
49 Federal-gov Masters 14 Never-married Exec-managerial Not-in-family White Male 0 1
21 Private Some-college 10 Never-married Other-service Not-in-family White Female 0 0
20 Private Some-college 10 Never-married Other-service Not-in-family White Female 0 0
18 Local-gov 12th 8 Never-married Protective-serv Own-child White Male 0 0
27 Private Some-college 10 Never-married Sales Not-in-family Black Male 0 0
34 Self-emp-not-inc HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
38 Private Some-college 10 Divorced Adm-clerical Unmarried White Female 0 0
24 Private HS-grad 9 Never-married Adm-clerical Not-in-family White Male 0 0
34 Private Some-college 10 Never-married Sales Not-in-family White Male 0 0
47 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 1
27 Federal-gov HS-grad 9 Separated Exec-managerial Unmarried Black Female 0 0
63 Private Assoc-voc 11 Widowed Adm-clerical Unmarried White Female 0 0
34 Private Some-college 10 Married-civ-spouse Adm-clerical Husband Black Male 0 1
25 Private Some-college 10 Married-spouse-absent Sales Not-in-family White Male 0 0
54 Private HS-grad 9 Widowed Machine-op-inspct Unmarried White Male 914 0
35 Private HS-grad 9 Divorced Sales Not-in-family White Female 0 0
24 Private Some-college 10 Married-civ-spouse Transport-moving Husband White Male 0 1
26 Private Some-college 10 Never-married Adm-clerical Own-child Asian-Pac-Islander Female 0 0
59 Local-gov Assoc-voc 11 Divorced Adm-clerical Not-in-family White Female 0 0
43 Private Doctorate 16 Married-spouse-absent Prof-specialty Not-in-family White Female 0 0
20 Private Some-college 10 Never-married Other-service Own-child White Female 0 0
41 Private HS-grad 9 Married-civ-spouse Farming-fishing Husband White Male 0 0
51 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
27 Private HS-grad 9 Never-married Adm-clerical Unmarried Other Female 0 0
36 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 0
25 Private Some-college 10 Never-married Farming-fishing Own-child White Male 0 0
55 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
22 Local-gov Some-college 10 Never-married Prof-specialty Not-in-family White Female 0 0
58 State-gov Doctorate 16 Married-civ-spouse Prof-specialty Husband Asian-Pac-Islander Male 4064 0
43 Private Some-college 10 Married-civ-spouse Adm-clerical Wife White Female 4064 0
39 Private Assoc-voc 11 Married-civ-spouse Adm-clerical Wife White Female 0 1
40 Private 9th 5 Never-married Machine-op-inspct Unmarried Black Female 0 0
46 Private HS-grad 9 Divorced Exec-managerial Not-in-family White Male 0 0
54 Federal-gov HS-grad 9 Never-married Adm-clerical Unmarried White Female 0 0
19 Private Some-college 10 Never-married Sales Own-child Black Male 0 0
24 Private HS-grad 9 Married-civ-spouse Adm-clerical Husband White Male 0 0
24 State-gov Masters 14 Never-married Prof-specialty Not-in-family White Male 0 0
29 Self-emp-not-inc HS-grad 9 Never-married Farming-fishing Own-child White Male 0 0
56 Self-emp-inc Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 7688 1
34 Private 9th 5 Separated Craft-repair Not-in-family White Male 0 0
56 Private 11th 7 Divorced Machine-op-inspct Not-in-family White Female 0 0
34 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 7688 1
19 Private 10th 6 Never-married Sales Unmarried Black Female 0 0
32 Self-emp-inc HS-grad 9 Married-civ-spouse Sales Husband White Male 0 1
48 Private HS-grad 9 Divorced Adm-clerical Unmarried White Female 0 0
47 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 0
52 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 1
40 Private 1st-4th 2 Married-spouse-absent Machine-op-inspct Unmarried White Female 0 0
28 Private 10th 6 Married-civ-spouse Craft-repair Husband White Male 0 0
41 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 7298 1
57 Private 1st-4th 2 Divorced Craft-repair Unmarried White Male 0 0
51 Private HS-grad 9 Divorced Adm-clerical Not-in-family White Female 0 0
36 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband Asian-Pac-Islander Male 0 0
33 Private Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 1
46 Private Bachelors 13 Married-civ-spouse Craft-repair Husband White Male 0 1
50 Private HS-grad 9 Divorced Adm-clerical Other-relative Asian-Pac-Islander Female 0 0
33 Private Some-college 10 Married-spouse-absent Craft-repair Not-in-family White Male 0 0
77 Self-emp-not-inc HS-grad 9 Never-married Machine-op-inspct Not-in-family White Male 401 0
39 Private Masters 14 Never-married Exec-managerial Not-in-family Black Male 8614 1
35 Private Assoc-acdm 12 Divorced Handlers-cleaners Unmarried White Female 0 0
23 Private 10th 6 Never-married Craft-repair Own-child Black Female 0 0
37 Private Assoc-voc 11 Divorced Prof-specialty Not-in-family White Female 8614 1
41 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 1
60 Private Assoc-acdm 12 Married-civ-spouse Adm-clerical Husband White Male 0 1
32 Private Bachelors 13 Never-married Adm-clerical Not-in-family White Male 0 0
56 Federal-gov HS-grad 9 Married-civ-spouse Transport-moving Husband Amer-Indian-Eskimo Male 0 0
45 State-gov Assoc-voc 11 Divorced Tech-support Unmarried White Female 0 0
24 Private HS-grad 9 Divorced Exec-managerial Not-in-family White Female 0 1
18 Private 10th 6 Never-married Handlers-cleaners Own-child White Male 0 0
31 Private HS-grad 9 Married-civ-spouse Other-service Husband Other Male 0 0
45 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
23 Private Some-college 10 Never-married Other-service Not-in-family White Female 0 0
45 State-gov Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 0
18 Private 11th 7 Never-married Sales Other-relative Amer-Indian-Eskimo Female 0 0
25 Private HS-grad 9 Married-civ-spouse Transport-moving Husband Black Male 0 0
31 State-gov HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
19 Private HS-grad 9 Never-married Machine-op-inspct Other-relative White Male 0 0
41 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
74 Private Prof-school 15 Widowed Adm-clerical Not-in-family Black Female 0 0
27 Private 5th-6th 3 Never-married Transport-moving Not-in-family White Male 0 0
23 Private HS-grad 9 Never-married Adm-clerical Not-in-family White Female 0 0
31 Private Assoc-voc 11 Married-civ-spouse Sales Husband White Male 0 1
40 Self-emp-inc HS-grad 9 Married-civ-spouse Handlers-cleaners Husband White Male 0 0
41 Federal-gov HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 1
25 Private Masters 14 Never-married Sales Not-in-family White Male 0 0
42 Private HS-grad 9 Married-civ-spouse Craft-repair Husband Amer-Indian-Eskimo Male 0 0
24 Private Bachelors 13 Never-married Craft-repair Not-in-family White Female 0 0
42 Private Assoc-acdm 12 Married-civ-spouse Craft-repair Husband White Male 0 1
45 Self-emp-not-inc 10th 6 Married-civ-spouse Craft-repair Husband White Male 0 0
52 Federal-gov HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 7298 1
34 Private Assoc-voc 11 Divorced Craft-repair Not-in-family White Male 0 0
32 Private HS-grad 9 Never-married Handlers-cleaners Other-relative White Male 0 0
54 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
42 Federal-gov 11th 7 Never-married Tech-support Not-in-family White Male 0 0
32 Private Bachelors 13 Married-civ-spouse Tech-support Husband White Male 15024 1
55 Self-emp-inc Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
52 State-gov Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 0
21 State-gov Some-college 10 Never-married Adm-clerical Not-in-family White Female 0 0
33 Private Bachelors 13 Married-civ-spouse Exec-managerial Wife White Female 0 1
28 Private 5th-6th 3 Never-married Machine-op-inspct Not-in-family White Female 0 0
27 Self-emp-not-inc 11th 7 Married-civ-spouse Craft-repair Husband White Male 0 0
42 Local-gov Bachelors 13 Divorced Prof-specialty Not-in-family White Female 0 0
27 Self-emp-inc Some-college 10 Never-married Adm-clerical Own-child White Female 0 0
47 Private Assoc-voc 11 Married-civ-spouse Craft-repair Husband White Male 7688 1
19 Private HS-grad 9 Never-married Other-service Not-in-family White Female 0 0
46 Private Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 0
55 Self-emp-not-inc HS-grad 9 Widowed Other-service Not-in-family White Female 0 0
50 Private 7th-8th 4 Married-civ-spouse Sales Husband Other Male 0 0
32 Private Some-college 10 Never-married Adm-clerical Not-in-family White Female 4101 0
28 Private HS-grad 9 Married-civ-spouse Adm-clerical Wife White Female 0 0
23 Private HS-grad 9 Never-married Adm-clerical Own-child Black Female 0 0
43 Private Masters 14 Married-spouse-absent Exec-managerial Not-in-family White Male 0 0
34 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
19 Private Some-college 10 Never-married Adm-clerical Not-in-family Asian-Pac-Islander Male 0 0
37 Private Some-college 10 Married-civ-spouse Exec-managerial Husband Asian-Pac-Islander Male 0 0
27 Private Bachelors 13 Never-married Adm-clerical Other-relative Asian-Pac-Islander Female 0 0
18 Private HS-grad 9 Never-married Sales Own-child White Female 0 0
31 Private Some-college 10 Widowed Adm-clerical Unmarried White Female 0 0
49 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 0
26 Federal-gov Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 0 0
48 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
39 Private HS-grad 9 Married-civ-spouse Craft-repair Husband Black Male 0 0
41 Private HS-grad 9 Separated Machine-op-inspct Unmarried White Female 0 0
48 State-gov Assoc-voc 11 Divorced Prof-specialty Unmarried White Female 0 1
40 Private Bachelors 13 Divorced Exec-managerial Not-in-family White Female 10520 1
70 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
20 Private HS-grad 9 Never-married Handlers-cleaners Own-child White Male 0 0
38 Private 5th-6th 3 Married-civ-spouse Other-service Husband White Male 0 0
37 Self-emp-not-inc Some-college 10 Separated Other-service Own-child White Female 0 0
49 Private Some-college 10 Widowed Exec-managerial Not-in-family White Female 0 1
51 Private HS-grad 9 Married-civ-spouse Handlers-cleaners Husband White Male 3103 1
43 Private 1st-4th 2 Never-married Sales Own-child White Male 0 0
38 Private Prof-school 15 Never-married Prof-specialty Not-in-family White Male 0 0
23 Private 7th-8th 4 Never-married Other-service Not-in-family White Male 0 0
34 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
33 Private Some-college 10 Never-married Adm-clerical Unmarried White Male 0 0
31 Private Some-college 10 Never-married Farming-fishing Not-in-family White Female 0 0
64 Private Some-college 10 Widowed Tech-support Unmarried White Female 0 0
26 Local-gov Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 0
55 Private Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 0
61 Local-gov Bachelors 13 Married-spouse-absent Prof-specialty Not-in-family White Male 0 0
37 Private HS-grad 9 Married-civ-spouse Tech-support Husband White Male 0 1
78 Local-gov Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 0
27 Federal-gov Some-college 10 Never-married Adm-clerical Unmarried Black Female 0 0
49 Private HS-grad 9 Divorced Prof-specialty Not-in-family White Male 0 0
55 State-gov Masters 14 Married-civ-spouse Prof-specialty Husband White Male 7688 1
42 Private Bachelors 13 Married-civ-spouse Transport-moving Husband White Male 0 0
61 Private 9th 5 Married-civ-spouse Craft-repair Husband White Male 0 0
64 Self-emp-not-inc Bachelors 13 Married-civ-spouse Adm-clerical Husband White Male 0 0
46 Local-gov HS-grad 9 Married-civ-spouse Other-service Husband White Male 0 0
24 Private Bachelors 13 Never-married Exec-managerial Not-in-family White Male 0 0
27 Private Some-college 10 Married-civ-spouse Craft-repair Husband White Male 2829 0
47 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 7688 1
18 Private Some-college 10 Divorced Other-service Own-child White Male 0 0
48 Private HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
50 Self-emp-not-inc HS-grad 9 Divorced Farming-fishing Not-in-family White Male 0 0
40 State-gov Masters 14 Divorced Prof-specialty Not-in-family White Female 0 0
56 Self-emp-not-inc 10th 6 Divorced Sales Own-child White Male 0 0
34 Private HS-grad 9 Never-married Adm-clerical Not-in-family White Female 4865 0
56 Federal-gov Bachelors 13 Married-civ-spouse Sales Husband White Male 0 0
18 Private 11th 7 Never-married Other-service Own-child White Male 0 0
21 Private Some-college 10 Never-married Other-service Own-child White Female 0 0
40 Private HS-grad 9 Divorced Tech-support Unmarried White Female 0 0
27 Local-gov HS-grad 9 Married-civ-spouse Handlers-cleaners Other-relative White Male 0 0
52 Self-emp-not-inc Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 99999 1
46 Private HS-grad 9 Divorced Sales Not-in-family White Female 0 0
23 Private HS-grad 9 Never-married Adm-clerical Own-child White Female 0 0
50 Private Some-college 10 Married-civ-spouse Tech-support Husband White Male 0 1
19 Private Some-college 10 Never-married Machine-op-inspct Other-relative White Male 0 0
20 Private HS-grad 9 Never-married Other-service Not-in-family White Male 0 0
39 Private Some-college 10 Divorced Exec-managerial Not-in-family White Female 8614 1
24 Private 11th 7 Never-married Craft-repair Own-child White Male 0 0
72 Private Assoc-voc 11 Widowed Adm-clerical Not-in-family White Female 0 0
42 State-gov Masters 14 Married-civ-spouse Prof-specialty Wife White Female 0 1
42 Private Bachelors 13 Divorced Sales Unmarried White Male 0 0
51 Private Bachelors 13 Divorced Exec-managerial Not-in-family Amer-Indian-Eskimo Male 0 0
39 Private HS-grad 9 Married-civ-spouse Sales Husband White Male 0 1
40 Local-gov Some-college 10 Never-married Adm-clerical Unmarried Amer-Indian-Eskimo Female 2977 0
34 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 1
19 Private 11th 7 Never-married Handlers-cleaners Own-child White Male 0 0
26 Private HS-grad 9 Never-married Exec-managerial Own-child White Female 0 0
45 Local-gov Bachelors 13 Divorced Prof-specialty Unmarried White Female 4934 1
28 Private Masters 14 Never-married Prof-specialty Not-in-family White Female 0 1
30 Federal-gov Bachelors 13 Never-married Prof-specialty Not-in-family White Male 0 1
32 Private HS-grad 9 Never-married Adm-clerical Not-in-family White Female 0 0
19 Private Some-college 10 Never-married Other-service Own-child White Female 0 0
21 Private HS-grad 9 Never-married Other-service Own-child White Male 0 0
54 Private HS-grad 9 Married-civ-spouse Priv-house-serv Other-relative Black Female 0 0
62 Private Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 0 1
25 Private Some-college 10 Never-married Other-service Not-in-family White Male 2597 0
49 Self-emp-inc Some-college 10 Divorced Exec-managerial Unmarried White Female 0 0
32 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
26 Private Some-college 10 Never-married Prof-specialty Not-in-family White Male 0 0
37 Local-gov HS-grad 9 Married-civ-spouse Protective-serv Husband White Male 0 1
58 Private HS-grad 9 Divorced Sales Other-relative White Female 0 0
37 Private Some-college 10 Married-civ-spouse Adm-clerical Wife White Female 7298 1
41 Private HS-grad 9 Never-married Exec-managerial Not-in-family White Female 0 0
38 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 7688 1
47 State-gov HS-grad 9 Married-civ-spouse Other-service Husband White Male 0 0
42 Private HS-grad 9 Divorced Other-service Unmarried Black Male 0 0
30 State-gov HS-grad 9 Married-civ-spouse Adm-clerical Husband White Male 0 0
43 Private Some-college 10 Married-civ-spouse Sales Husband White Male 7688 1
34 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband Black Male 0 0
57 Private Some-college 10 Divorced Exec-managerial Other-relative White Female 594 0
46 Private 11th 7 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
32 Private Some-college 10 Married-civ-spouse Transport-moving Husband White Male 0 0
20 Private 9th 5 Never-married Machine-op-inspct Own-child White Female 0 0
47 Private Assoc-voc 11 Divorced Sales Not-in-family White Male 0 0
53 Self-emp-not-inc 7th-8th 4 Married-civ-spouse Exec-managerial Husband White Male 4386 1
43 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
80 Self-emp-not-inc 7th-8th 4 Married-civ-spouse Farming-fishing Husband White Male 0 0
24 Private Some-college 10 Never-married Other-service Own-child White Female 0 0
43 Local-gov Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 1
22 Private HS-grad 9 Never-married Handlers-cleaners Own-child White Male 0 0
40 Private Some-college 10 Separated Exec-managerial Not-in-family Black Male 0 0
48 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 1
51 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
24 Federal-gov HS-grad 9 Never-married Adm-clerical Not-in-family White Female 0 0
19 Private HS-grad 9 Never-married Other-service Own-child White Female 0 0
34 Private Some-college 10 Divorced Adm-clerical Unmarried White Female 0 0
24 Private HS-grad 9 Never-married Craft-repair Own-child White Male 0 0
41 Private Bachelors 13 Married-civ-spouse Transport-moving Husband White Male 0 1
24 Private HS-grad 9 Divorced Sales Not-in-family White Female 0 0
22 Local-gov Some-college 10 Never-married Protective-serv Own-child White Male 0 0
32 Federal-gov Some-college 10 Divorced Adm-clerical Unmarried White Female 0 0
41 Private Bachelors 13 Divorced Exec-managerial Not-in-family White Female 0 0
20 Private Some-college 10 Never-married Other-service Own-child White Male 0 0
31 Private HS-grad 9 Never-married Other-service Not-in-family Black Male 0 0
55 Private Bachelors 13 Married-civ-spouse Tech-support Husband White Male 0 1
49 State-gov Doctorate 16 Married-civ-spouse Prof-specialty Husband Black Male 0 1
26 Private Bachelors 13 Never-married Sales Own-child White Male 0 0
27 Self-emp-not-inc HS-grad 9 Divorced Transport-moving Not-in-family White Male 0 0
35 Private HS-grad 9 Separated Adm-clerical Not-in-family White Female 0 0
40 Private HS-grad 9 Divorced Other-service Not-in-family White Male 0 0
59 Private Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 0
61 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 1
31 Private HS-grad 9 Never-married Sales Own-child Black Female 0 0
43 Federal-gov Masters 14 Divorced Protective-serv Not-in-family White Male 0 1
61 Private 5th-6th 3 Never-married Handlers-cleaners Not-in-family Black Male 0 0
54 Private Assoc-acdm 12 Widowed Adm-clerical Unmarried White Female 0 0
30 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
20 Private Some-college 10 Never-married Sales Not-in-family White Female 0 0
27 State-gov Masters 14 Never-married Prof-specialty Not-in-family White Female 0 0
44 Self-emp-inc Some-college 10 Divorced Machine-op-inspct Not-in-family White Male 0 0
64 Private Some-college 10 Widowed Adm-clerical Not-in-family White Female 0 0
55 Private HS-grad 9 Divorced Adm-clerical Not-in-family White Female 0 0
34 Private HS-grad 9 Divorced Craft-repair Not-in-family White Male 6849 0
61 Private HS-grad 9 Widowed Sales Not-in-family White Female 0 0
28 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 0
