C N C N N N
24 Private 9 Never-married Own-child 0
30 Private 9 Married-civ-spouse Husband 0
27 Private 10 Divorced Own-child 0
34 State-gov 13 Married-civ-spouse Husband 0
25 State-gov 10 Married-civ-spouse Wife 0
39 Private 9 Divorced Unmarried 0
28 Private 10 Married-civ-spouse Husband 1
51 Self-emp-not-inc 9 Married-civ-spouse Husband 0
33 Private 10 Never-married Not-in-family 0
27 Private 11 Never-married Own-child 0
29 Private 9 Never-married Not-in-family 0
33 State-gov 6 Married-civ-spouse Husband 0
37 Private 9 Married-civ-spouse Husband 1
20 Private 9 Never-married Own-child 0
24 Private 13 Never-married Not-in-family 0
29 Private 9 Never-married Own-child 0
31 Private 13 Married-civ-spouse Husband 1
41 Private 10 Married-civ-spouse Husband 0
42 Self-emp-not-inc 10 Married-civ-spouse Husband 0
20 Private 10 Never-married Not-in-family 0
54 Private 5 Separated Unmarried 0
55 Private 13 Married-spouse-absent Unmarried 0
21 Private 9 Married-civ-spouse Husband 0
52 Private 11 Married-civ-spouse Husband 1
19 Private 9 Never-married Own-child 0
33 Private 11 Married-civ-spouse Husband 0
22 Private 9 Separated Unmarried 0
59 Private 9 Never-married Unmarried 0
31 Private 8 Never-married Own-child 0
74 Self-emp-not-inc 9 Married-civ-spouse Husband 1
45 Private 6 Divorced Unmarried 0
36 Private 9 Never-married Not-in-family 0
35 Self-emp-inc 10 Divorced Not-in-family 0
45 Private 10 Divorced Not-in-family 0
42 Self-emp-not-inc 9 Never-married Own-child 0
50 State-gov 14 Divorced Unmarried 0
39 Private 9 Divorced Other-relative 0
44 Private 10 Separated Not-in-family 0
52 Private 2 Married-civ-spouse Husband 1
24 Private 13 Never-married Not-in-family 0
56 Self-emp-inc 5 Married-civ-spouse Husband 0
27 Private 9 Married-civ-spouse Husband 1
47 Self-emp-inc 13 Married-civ-spouse Husband 1
40 Self-emp-not-inc 15 Married-civ-spouse Husband 1
38 Private 9 Never-married Not-in-family 0
27 Private 11 Divorced Not-in-family 0
52 Private 9 Divorced Unmarried 0
22 Private 9 Divorced Own-child 0
41 Private 10 Married-civ-spouse Husband 0
30 Private 9 Divorced Unmarried 0
55 Private 13 Married-civ-spouse Other-relative 0
25 Private 10 Never-married Own-child 0
32 Private 13 Married-civ-spouse Other-relative 0
28 Private 10 Separated Not-in-family 0
33 Self-emp-inc 9 Married-civ-spouse Husband 0
17 Private 9 Never-married Own-child 0
27 Private 9 Married-civ-spouse Husband 0
55 Private 11 Married-civ-spouse Husband 0
63 Federal-gov 10 Married-civ-spouse Husband 1
39 Private 9 Married-civ-spouse Wife 0
51 Federal-gov 16 Married-civ-spouse Husband 1
67 Self-emp-not-inc 4 Married-civ-spouse Husband 0
41 Self-emp-inc 13 Married-civ-spouse Husband 0
27 Private 9 Widowed Unmarried 0
54 Private 14 Married-civ-spouse Husband 1
59 Private 6 Married-civ-spouse Husband 1
18 Private 9 Never-married Not-in-family 0
19 Private 9 Never-married Own-child 0
31 Private 9 Married-civ-spouse Husband 0
17 Private 7 Never-married Own-child 0
42 Private 9 Married-civ-spouse Husband 1
37 Private 10 Married-spouse-absent Not-in-family 0
51 Local-gov 9 Married-civ-spouse Husband 0
48 Private 9 Never-married Not-in-family 0
23 Private 9 Never-married Own-child 0
27 Private 11 Married-civ-spouse Husband 0
25 Private 9 Never-married Own-child 0
69 Private 12 Divorced Not-in-family 0
30 Private 13 Never-married Not-in-family 0
33 Private 9 Married-civ-spouse Husband 0
28 Private 9 Never-married Own-child 0
45 Private 3 Married-civ-spouse Husband 0
25 Private 10 Never-married Own-child 0
37 Private 11 Married-civ-spouse Husband 1
59 Private 1 Never-married Not-in-family 0
26 Private 9 Never-married Own-child 0
48 Private 10 Separated Not-in-family 0
64 Federal-gov 9 Married-civ-spouse Husband 0
39 Private 13 Married-civ-spouse Husband 0
24 Private 13 Never-married Not-in-family 0
40 State-gov 14 Never-married Not-in-family 0
46 Private 14 Married-spouse-absent Not-in-family 1
35 Federal-gov 10 Married-civ-spouse Husband 1
43 Private 9 Married-civ-spouse Wife 1
31 Private 9 Separated Not-in-family 0
22 Private 10 Never-married Not-in-family 0
35 Private 10 Never-married Not-in-family 0
35 Private 9 Separated Not-in-family 0
35 State-gov 10 Divorced Unmarried 0
40 Private 15 Married-civ-spouse Husband 1
50 Private 14 Never-married Unmarried 0
48 Self-emp-not-inc 15 Divorced Unmarried 1
46 Private 9 Divorced Not-in-family 0
36 Private 9 Divorced Unmarried 0
37 State-gov 13 Married-civ-spouse Husband 1
24 Private 5 Married-civ-spouse Husband 0
47 Local-gov 13 Separated Not-in-family 0
35 Self-emp-not-inc 9 Divorced Not-in-family 0
43 Private 13 Married-civ-spouse Husband 0
18 State-gov 7 Never-married Own-child 0
54 Private 9 Married-civ-spouse Husband 0
62 Private 9 Never-married Other-relative 0
36 Private 13 Married-civ-spouse Husband 1
27 Private 5 Married-civ-spouse Husband 0
23 Private 10 Never-married Other-relative 0
39 Self-emp-not-inc 13 Divorced Not-in-family 0
33 Self-emp-not-inc 3 Married-civ-spouse Husband 1
28 Private 2 Never-married Not-in-family 0
22 Private 9 Never-married Own-child 0
31 Self-emp-not-inc 11 Married-civ-spouse Husband 1
26 Private 13 Never-married Not-in-family 0
44 Private 13 Divorced Not-in-family 1
73 Private 13 Married-civ-spouse Husband 0
44 Private 13 Divorced Unmarried 0
35 Private 11 Divorced Not-in-family 0
33 Private 13 Married-civ-spouse Wife 0
27 Private 13 Never-married Not-in-family 0
47 Federal-gov 13 Married-civ-spouse Husband 1
29 Private 9 Married-civ-spouse Husband 1
33 Private 10 Married-civ-spouse Wife 0
50 Private 10 Divorced Not-in-family 0
32 Private 9 Married-civ-spouse Husband 0
41 Self-emp-not-inc 14 Divorced Unmarried 0
45 Private 9 Married-civ-spouse Husband 1
65 Private 9 Widowed Not-in-family 0
42 State-gov 10 Separated Unmarried 0
33 Self-emp-not-inc 13 Married-civ-spouse Husband 1
32 Private 13 Married-civ-spouse Husband 1
42 Private 10 Married-civ-spouse Husband 1
49 Private 10 Separated Not-in-family 1
38 Private 9 Married-civ-spouse Own-child 0
38 Private 10 Married-civ-spouse Husband 0
37 Private 10 Married-civ-spouse Husband 0
24 Private 10 Never-married Not-in-family 0
27 Self-emp-not-inc 10 Never-married Not-in-family 0
25 Private 5 Married-spouse-absent Unmarried 0
29 Private 9 Married-civ-spouse Husband 0
46 Private 9 Married-civ-spouse Husband 0
44 Self-emp-inc 9 Married-civ-spouse Husband 0
26 Private 13 Never-married Not-in-family 0
46 Local-gov 12 Married-civ-spouse Husband 1
38 Private 10 Separated Unmarried 0
38 Private 10 Married-civ-spouse Husband 0
22 State-gov 13 Married-civ-spouse Husband 0
33 Private 10 Divorced Not-in-family 0
50 Private 12 Divorced Not-in-family 0
31 Local-gov 9 Married-civ-spouse Husband 1
26 Self-emp-not-inc 10 Never-married Not-in-family 0
42 Private 10 Married-civ-spouse Husband 0
27 Private 9 Married-civ-spouse Husband 0
34 Private 14 Married-civ-spouse Husband 1
64 Private 9 Married-civ-spouse Husband 0
43 Private 10 Married-civ-spouse Husband 0
39 Private 9 Married-civ-spouse Husband 0
47 Self-emp-not-inc 15 Never-married Not-in-family 1
56 Private 14 Never-married Not-in-family 0
25 Local-gov 14 Never-married Own-child 0
60 State-gov 13 Divorced Not-in-family 0
52 Private 9 Married-civ-spouse Husband 0
43 Private 9 Divorced Not-in-family 0
46 Private 13 Never-married Unmarried 0
19 Private 10 Never-married Own-child 0
56 Private 4 Never-married Unmarried 0
22 Private 13 Never-married Not-in-family 0
28 Private 7 Never-married Not-in-family 0
39 Private 3 Separated Unmarried 0
28 Private 10 Divorced Not-in-family 0
31 Private 13 Married-civ-spouse Husband 1
22 Private 9 Never-married Own-child 0
39 Private 9 Married-civ-spouse Husband 1
39 Private 13 Married-civ-spouse Husband 1
28 Self-emp-not-inc 7 Never-married Not-in-family 0
31 Private 9 Never-married Unmarried 0
50 Private 13 Married-civ-spouse Husband 0
34 Private 9 Married-civ-spouse Husband 0
48 Private 9 Married-civ-spouse Wife 1
51 Private 13 Divorced Not-in-family 0
54 Private 9 Married-civ-spouse Husband 0
44 Private 11 Divorced Not-in-family 0
20 Private 10 Never-married Own-child 0
37 Private 9 Married-civ-spouse Husband 0
38 Private 10 Married-civ-spouse Husband 0
59 Federal-gov 12 Married-civ-spouse Husband 0
59 Self-emp-not-inc 13 Married-civ-spouse Husband 0
51 Private 10 Divorced Not-in-family 1
29 Private 10 Married-civ-spouse Husband 0
37 Private 10 Never-married Not-in-family 0
42 Private 6 Married-civ-spouse Husband 0
28 Self-emp-inc 13 Married-civ-spouse Husband 1
34 Private 9 Never-married Own-child 0
50 Self-emp-not-inc 13 Married-civ-spouse Husband 1
22 Self-emp-inc 9 Never-married Own-child 0
27 Private 9 Never-married Not-in-family 0
45 State-gov 15 Divorced Unmarried 0
39 Private 9 Divorced Unmarried 0
25 Local-gov 13 Never-married Not-in-family 0
24 Self-emp-inc 13 Married-civ-spouse Husband 1
18 Private 9 Never-married Not-in-family 0
23 Private 8 Never-married Unmarried 0
20 Private 3 Never-married Other-relative 0
17 Self-emp-not-inc 6 Never-married Own-child 0
63 Self-emp-inc 13 Married-civ-spouse Husband 1
28 Local-gov 13 Married-civ-spouse Husband 1
51 Federal-gov 13 Married-civ-spouse Husband 1
29 Private 13 Never-married Not-in-family 0
64 Private 10 Widowed Unmarried 0
17 Private 6 Never-married Own-child 0
45 Local-gov 10 Divorced Unmarried 0
18 Private 8 Never-married Own-child 0
31 Local-gov 9 Never-married Own-child 0
48 Self-emp-not-inc 13 Married-spouse-absent Own-child 1
41 Private 10 Never-married Not-in-family 0
65 Private 15 Married-civ-spouse Husband 1
27 Private 11 Divorced Not-in-family 0
39 Private 11 Married-civ-spouse Husband 0
51 Self-emp-not-inc 10 Divorced Not-in-family 1
49 Private 14 Married-civ-spouse Husband 1
36 Private 13 Married-civ-spouse Husband 1
25 Private 9 Never-married Not-in-family 0
41 Private 10 Divorced Unmarried 0
31 Private 5 Divorced Not-in-family 0
63 Private 7 Married-civ-spouse Husband 1
50 State-gov 13 Divorced Not-in-family 0
63 Private 10 Divorced Not-in-family 0
44 Self-emp-not-inc 14 Never-married Own-child 0
48 Private 9 Divorced Not-in-family 0
51 Self-emp-not-inc 10 Married-civ-spouse Husband 0
18 Private 9 Never-married Own-child 0
23 Private 10 Never-married Own-child 0
31 Private 9 Married-civ-spouse Husband 0
38 Private 9 Married-civ-spouse Husband 0
56 Private 10 Married-civ-spouse Husband 1
31 Private 4 Divorced Unmarried 0
46 Private 10 Married-civ-spouse Husband 0
39 Private 14 Married-civ-spouse Husband 1
56 Local-gov 9 Married-civ-spouse Husband 0
31 Private 9 Never-married Unmarried 0
42 Self-emp-inc 13 Married-civ-spouse Husband 1
53 Private 9 Married-civ-spouse Husband 1
18 Private 7 Never-married Own-child 0
27 Private 9 Married-civ-spouse Husband 1
31 Private 13 Never-married Not-in-family 0
52 Federal-gov 14 Married-civ-spouse Husband 0
46 Private 9 Married-civ-spouse Husband 0
30 Private 10 Never-married Not-in-family 0
26 Private 13 Never-married Not-in-family 0
48 Local-gov 14 Married-civ-spouse Husband 1
37 Private 10 Married-civ-spouse Husband 1
29 Private 5 Married-civ-spouse Husband 0
49 Private 9 Married-civ-spouse Husband 1
24 Private 9 Divorced Not-in-family 0
74 Self-emp-not-inc 9 Married-civ-spouse Husband 0
56 Self-emp-not-inc 3 Married-civ-spouse Husband 1
39 Federal-gov 13 Never-married Not-in-family 0
21 Private 9 Never-married Own-child 0
29 Private 13 Never-married Not-in-family 1
43 Self-emp-not-inc 9 Divorced Unmarried 0
23 Private 13 Never-married Not-in-family 0
26 Private 9 Never-married Not-in-family 0
47 Private 9 Married-civ-spouse Husband 0
27 Private 9 Married-civ-spouse Husband 0
45 Private 9 Married-civ-spouse Husband 1
30 Private 9 Never-married Own-child 0
35 Private 10 Married-civ-spouse Wife 1
33 Private 9 Married-civ-spouse Husband 0
37 Private 9 Married-civ-spouse Husband 1
21 Private 9 Never-married Own-child 0
42 Private 9 Married-civ-spouse Husband 0
48 Federal-gov 9 Married-civ-spouse Husband 0
46 Private 9 Never-married Not-in-family 0
36 Private 3 Separated Not-in-family 0
54 Private 9 Never-married Not-in-family 0
25 Private 9 Married-civ-spouse Wife 0
26 Local-gov 9 Divorced Unmarried 0
36 Self-emp-inc 9 Married-civ-spouse Husband 0
56 Self-emp-not-inc 13 Never-married Not-in-family 0
37 Private 9 Married-civ-spouse Husband 0
26 Private 13 Never-married Not-in-family 1
23 Private 13 Never-married Own-child 0
23 State-gov 13 Never-married Not-in-family 0
41 State-gov 13 Never-married Not-in-family 0
55 Private 13 Married-civ-spouse Husband 1
39 Private 13 Married-civ-spouse Husband 1
67 Local-gov 12 Married-civ-spouse Husband 0
60 Private 9 Widowed Not-in-family 0
54 Private 9 Widowed Unmarried 0
38 Private 14 Married-civ-spouse Husband 1
47 Private 10 Married-civ-spouse Husband 1
49 State-gov 13 Married-civ-spouse Husband 1
19 Private 9 Never-married Own-child 0
20 Private 10 Never-married Unmarried 0
66 Private 9 Widowed Other-relative 0
51 Self-emp-not-inc 14 Married-civ-spouse Husband 1
19 Private 10 Never-married Not-in-family 0
36 Private 10 Divorced Unmarried 0
33 Private 9 Married-civ-spouse Husband 1
41 Private 13 Divorced Not-in-family 0
90 Private 9 Married-civ-spouse Husband 1
36 Private 9 Divorced Not-in-family 0
30 Private 15 Divorced Own-child 0
35 Private 10 Divorced Not-in-family 0
46 Private 14 Married-civ-spouse Husband 1
38 Private 9 Never-married Other-relative 0
24 Private 13 Married-civ-spouse Husband 0
40 Private 13 Married-civ-spouse Wife 0
49 Private 4 Married-civ-spouse Husband 0
19 Private 9 Never-married Own-child 0
77 Private 10 Widowed Not-in-family 0
46 Private 9 Married-civ-spouse Husband 1
41 Private 10 Separated Not-in-family 0
28 Private 2 Never-married Unmarried 0
21 Private 9 Married-civ-spouse Husband 0
24 Private 8 Never-married Own-child 0
36 Private 9 Married-civ-spouse Husband 0
23 State-gov 10 Never-married Own-child 0
38 Federal-gov 9 Married-civ-spouse Husband 0
29 Self-emp-not-inc 9 Married-civ-spouse Husband 0
38 Private 10 Married-civ-spouse Other-relative 1
47 Federal-gov 13 Never-married Unmarried 1
39 Local-gov 14 Divorced Not-in-family 0
40 Local-gov 13 Married-civ-spouse Husband 0
32 Private 9 Divorced Own-child 0
23 Private 9 Never-married Own-child 0
44 State-gov 9 Married-civ-spouse Husband 0
37 Private 10 Separated Not-in-family 0
70 Private 13 Widowed Unmarried 0
51 Private 14 Married-civ-spouse Husband 1
66 Private 5 Separated Not-in-family 0
57 Self-emp-inc 10 Married-civ-spouse Husband 0
36 Private 10 Married-civ-spouse Husband 1
48 Self-emp-inc 13 Divorced Not-in-family 1
51 Private 14 Married-civ-spouse Wife 1
43 Private 13 Married-civ-spouse Husband 1
27 Private 9 Married-civ-spouse Husband 0
32 Private 13 Never-married Own-child 0
20 Private 10 Never-married Own-child 0
33 Private 10 Divorced Not-in-family 0
19 Private 10 Never-married Not-in-family 0
32 Local-gov 10 Married-civ-spouse Husband 1
35 Private 15 Never-married Not-in-family 1
26 Private 9 Married-civ-spouse Husband 0
39 Private 9 Never-married Unmarried 0
24 Private 13 Never-married Own-child 0
45 Private 10 Married-civ-spouse Husband 1
20 Private 10 Never-married Own-child 0
49 State-gov 13 Married-civ-spouse Other-relative 0
35 State-gov 14 Never-married Not-in-family 0
30 Private 9 Never-married Not-in-family 0
23 Private 10 Never-married Own-child 0
33 Private 13 Married-civ-spouse Husband 0
35 Private 9 Married-civ-spouse Husband 0
31 Private 14 Married-civ-spouse Husband 0
20 Private 7 Never-married Not-in-family 0
44 Private 9 Married-civ-spouse Husband 0
33 Self-emp-not-inc 9 Married-civ-spouse Husband 0
50 Private 10 Married-civ-spouse Husband 0
25 Private 9 Never-married Unmarried 0
28 State-gov 9 Married-civ-spouse Husband 0
60 Federal-gov 13 Married-civ-spouse Husband 1
38 Federal-gov 11 Married-civ-spouse Husband 0
38 Private 10 Married-civ-spouse Husband 0
57 Federal-gov 13 Never-married Not-in-family 0
50 Private 9 Married-civ-spouse Husband 1
39 Local-gov 7 Divorced Unmarried 0
69 Local-gov 9 Married-civ-spouse Husband 0
51 State-gov 11 Divorced Not-in-family 1
42 Private 9 Married-civ-spouse Husband 0
53 Private 13 Married-civ-spouse Husband 1
37 Private 13 Married-civ-spouse Husband 0
37 Private 6 Married-civ-spouse Husband 0
38 Private 9 Married-civ-spouse Husband 1
20 Private 10 Never-married Own-child 0
38 State-gov 10 Separated Unmarried 0
52 Private 11 Married-civ-spouse Husband 1
48 Self-emp-inc 11 Married-civ-spouse Husband 1
30 Private 11 Married-civ-spouse Husband 1
37 Self-emp-not-inc 9 Married-civ-spouse Husband 1
47 Private 9 Married-civ-spouse Husband 0
33 Local-gov 13 Divorced Unmarried 0
33 Private 9 Married-spouse-absent Not-in-family 0
20 Private 10 Never-married Own-child 0
41 State-gov 13 Divorced Not-in-family 0
32 Private 10 Married-civ-spouse Husband 1
54 Self-emp-not-inc 9 Married-civ-spouse Husband 0
36 Federal-gov 13 Married-civ-spouse Wife 0
46 Private 13 Never-married Not-in-family 0
45 Private 13 Married-civ-spouse Husband 1
18 Private 10 Never-married Own-child 0
62 Private 10 Married-civ-spouse Husband 0
33 Private 9 Married-civ-spouse Husband 0
42 Private 9 Divorced Unmarried 0
18 Private 10 Never-married Own-child 0
32 Private 11 Divorced Unmarried 0
43 Private 4 Married-civ-spouse Husband 0
20 Private 9 Never-married Unmarried 0
50 Private 13 Divorced Not-in-family 0
42 Local-gov 16 Married-civ-spouse Husband 1
36 Private 9 Married-civ-spouse Husband 0
22 Private 9 Never-married Own-child 0
30 Private 9 Married-civ-spouse Husband 0
33 Self-emp-not-inc 9 Never-married Not-in-family 0
43 Local-gov 12 Married-civ-spouse Husband 0
38 Private 10 Married-civ-spouse Husband 0
34 Local-gov 13 Never-married Not-in-family 0
40 Private 10 Separated Unmarried 0
40 Private 9 Married-civ-spouse Husband 0
41 Local-gov 15 Married-civ-spouse Husband 1
57 Private 10 Married-civ-spouse Husband 1
65 Local-gov 14 Married-civ-spouse Husband 0
52 Federal-gov 10 Married-civ-spouse Husband 0
59 Private 15 Married-civ-spouse Husband 1
18 Private 9 Never-married Own-child 0
48 Private 12 Married-civ-spouse Husband 0
45 Private 3 Divorced Unmarried 0
24 Private 9 Married-civ-spouse Husband 0
27 State-gov 12 Never-married Not-in-family 0
40 Private 14 Married-civ-spouse Husband 1
44 State-gov 13 Married-civ-spouse Husband 0
24 Private 9 Never-married Own-child 0
71 Private 15 Married-civ-spouse Husband 0
17 Private 8 Never-married Own-child 0
57 Self-emp-not-inc 10 Married-civ-spouse Husband 0
37 Private 16 Married-civ-spouse Husband 0
33 Private 9 Married-civ-spouse Husband 0
41 Private 9 Married-civ-spouse Husband 0
25 Private 13 Never-married Own-child 0
42 Self-emp-not-inc 9 Married-civ-spouse Husband 0
34 Private 9 Never-married Not-in-family 0
27 Local-gov 13 Never-married Not-in-family 0
24 Private 13 Never-married Own-child 0
23 Private 13 Never-married Own-child 0
33 Private 10 Married-civ-spouse Husband 0
58 Self-emp-inc 11 Divorced Not-in-family 0
25 Private 5 Married-civ-spouse Husband 0
44 Private 14 Never-married Not-in-family 0
53 Federal-gov 9 Married-civ-spouse Husband 1
38 Local-gov 9 Married-civ-spouse Wife 1
36 Private 13 Never-married Not-in-family 1
25 State-gov 9 Never-married Not-in-family 0
54 Federal-gov 13 Divorced Unmarried 0
31 Private 8 Separated Unmarried 0
18 State-gov 9 Never-married Own-child 0
40 Private 9 Divorced Not-in-family 0
26 Private 10 Married-civ-spouse Wife 0
33 Private 13 Never-married Not-in-family 0
22 Private 12 Never-married Not-in-family 0
50 State-gov 10 Married-civ-spouse Husband 0
44 Private 9 Divorced Not-in-family 0
37 Private 9 Never-married Unmarried 0
34 Self-emp-not-inc 13 Married-civ-spouse Husband 0
45 Federal-gov 10 Widowed Not-in-family 1
25 Private 6 Married-civ-spouse Own-child 0
20 Private 10 Separated Unmarried 0
46 Federal-gov 9 Never-married Not-in-family 0
26 Private 12 Never-married Own-child 0
45 Private 2 Married-civ-spouse Wife 0
57 Private 9 Married-civ-spouse Husband 1
28 Private 11 Never-married Not-in-family 0
36 Private 10 Married-civ-spouse Husband 1
32 Private 9 Never-married Not-in-family 0
29 Private 13 Never-married Not-in-family 1
36 Private 13 Divorced Unmarried 0
19 Private 9 Never-married Own-child 0
27 Private 13 Never-married Unmarried 0
48 Private 14 Married-civ-spouse Husband 1
49 Self-emp-not-inc 13 Married-civ-spouse Husband 0
55 Private 14 Married-civ-spouse Husband 1
61 Private 9 Divorced Not-in-family 0
42 Local-gov 10 Married-civ-spouse Husband 1
42 Federal-gov 12 Divorced Not-in-family 0
30 Local-gov 11 Married-civ-spouse Husband 0
32 Self-emp-not-inc 9 Married-civ-spouse Husband 0
37 Private 10 Married-civ-spouse Husband 1
35 Private 10 Married-civ-spouse Husband 0
30 Private 11 Married-spouse-absent Not-in-family 0
30 Private 15 Married-civ-spouse Husband 1
55 Private 10 Married-civ-spouse Husband 1
36 Private 10 Married-civ-spouse Husband 0
33 Private 9 Never-married Own-child 0
56 Local-gov 13 Married-civ-spouse Husband 1
26 Private 11 Married-civ-spouse Husband 0
37 Private 9 Married-civ-spouse Husband 0
28 Private 9 Never-married Own-child 0
38 Private 9 Married-civ-spouse Husband 0
48 Private 10 Widowed Unmarried 0
35 Private 12 Married-civ-spouse Husband 0
39 Local-gov 13 Married-civ-spouse Husband 0
64 Private 9 Married-civ-spouse Husband 0
22 Private 9 Never-married Unmarried 0
45 Local-gov 13 Married-civ-spouse Husband 1
27 Private 3 Married-civ-spouse Husband 0
43 State-gov 9 Divorced Unmarried 1
23 Private 10 Never-married Own-child 0
25 Private 6 Never-married Own-child 0
39 Private 14 Married-civ-spouse Husband 1
63 Private 9 Married-civ-spouse Wife 0
37 Private 15 Married-civ-spouse Husband 1
26 Federal-gov 9 Married-civ-spouse Husband 0
33 Private 13 Never-married Not-in-family 0
45 Self-emp-inc 13 Married-civ-spouse Wife 0
28 Private 10 Never-married Not-in-family 0
20 Private 10 Never-married Own-child 0
34 Private 9 Married-civ-spouse Wife 0
34 Private 10 Married-civ-spouse Husband 0
41 Private 9 Married-civ-spouse Husband 1
38 Private 10 Married-civ-spouse Husband 1
36 Private 13 Married-civ-spouse Husband 1
38 Private 10 Married-civ-spouse Husband 0
46 Self-emp-inc 13 Married-civ-spouse Husband 1
43 Self-emp-not-inc 13 Married-civ-spouse Wife 0
49 Private 10 Widowed Unmarried 0
26 Local-gov 13 Never-married Own-child 0
28 Private 9 Divorced Not-in-family 0
54 Self-emp-inc 9 Married-civ-spouse Husband 1
53 Private 9 Never-married Not-in-family 0
24 Private 10 Never-married Own-child 0
23 Private 10 Never-married Own-child 0
55 Local-gov 9 Divorced Not-in-family 0
58 Self-emp-not-inc 5 Separated Not-in-family 0
26 Private 9 Never-married Other-relative 0
19 Private 6 Never-married Other-relative 0
45 Private 10 Never-married Not-in-family 0
30 Private 10 Married-civ-spouse Husband 1
76 Private 9 Widowed Unmarried 0
47 Private 9 Separated Unmarried 0
34 Private 10 Divorced Not-in-family 0
40 Private 10 Married-civ-spouse Wife 1
24 Private 9 Separated Unmarried 0
30 Private 13 Married-civ-spouse Wife 1
67 Private 10 Married-civ-spouse Husband 1
24 Private 9 Married-civ-spouse Wife 0
43 Local-gov 10 Divorced Unmarried 0
29 Private 8 Never-married Unmarried 0
40 Private 9 Married-civ-spouse Husband 0
61 Federal-gov 10 Married-civ-spouse Husband 0
45 Local-gov 16 Married-civ-spouse Husband 1
21 State-gov 10 Never-married Not-in-family 0
58 Private 9 Married-civ-spouse Husband 1
52 Private 10 Married-civ-spouse Husband 0
34 Private 9 Never-married Own-child 0
20 Private 10 Never-married Other-relative 0
46 Private 9 Married-civ-spouse Husband 0
54 Private 10 Divorced Not-in-family 0
43 State-gov 14 Married-civ-spouse Husband 1
25 Private 5 Married-civ-spouse Husband 0
21 Private 12 Never-married Not-in-family 0
65 Private 10 Divorced Not-in-family 1
37 Private 9 Divorced Not-in-family 0
29 Private 9 Divorced Not-in-family 1
44 Private 13 Married-civ-spouse Husband 1
37 Federal-gov 10 Married-civ-spouse Husband 1
38 Private 10 Married-civ-spouse Wife 0
35 Private 10 Married-civ-spouse Husband 0
32 Private 9 Married-civ-spouse Husband 0
44 Self-emp-not-inc 10 Separated Unmarried 0
23 Private 10 Never-married Other-relative 0
25 Self-emp-inc 13 Never-married Not-in-family 1
23 Private 10 Never-married Own-child 0
47 Private 10 Married-civ-spouse Husband 0
47 Private 7 Divorced Not-in-family 0
25 Private 9 Never-married Not-in-family 0
35 Private 10 Married-civ-spouse Husband 0
50 Private 11 Married-civ-spouse Husband 1
47 Private 9 Divorced Unmarried 0
35 Private 16 Married-civ-spouse Husband 1
24 Private 9 Never-married Not-in-family 0
21 Private 9 Never-married Own-child 0
35 Private 13 Divorced Not-in-family 1
30 Private 13 Married-civ-spouse Wife 0
17 Private 7 Never-married Own-child 0
27 Private 3 Never-married Not-in-family 0
22 Private 9 Never-married Own-child 0
22 State-gov 10 Never-married Own-child 0
50 Private 9 Married-civ-spouse Husband 0
51 Self-emp-not-inc 11 Married-civ-spouse Husband 1
27 Private 13 Married-civ-spouse Husband 0
27 Private 13 Never-married Not-in-family 0
20 State-gov 9 Never-married Not-in-family 0
42 Private 9 Married-civ-spouse Husband 0
32 Private 9 Married-civ-spouse Husband 1
45 Private 13 Married-civ-spouse Husband 1
35 Private 4 Widowed Unmarried 0
22 Private 9 Married-civ-spouse Own-child 0
34 Private 10 Never-married Unmarried 0
28 Private 13 Never-married Not-in-family 0
38 Private 13 Divorced Unmarried 0
48 Local-gov 10 Married-civ-spouse Husband 1
34 Private 14 Married-civ-spouse Husband 0
25 Private 9 Married-civ-spouse Wife 1
23 Local-gov 9 Never-married Not-in-family 0
38 Private 10 Married-civ-spouse Husband 1
43 Private 9 Never-married Unmarried 0
49 Local-gov 9 Married-civ-spouse Husband 1
23 Private 10 Divorced Not-in-family 0
57 Private 9 Divorced Not-in-family 0
24 Private 13 Never-married Own-child 0
44 Self-emp-inc 10 Married-civ-spouse Husband 1
34 Private 12 Divorced Not-in-family 0
29 Local-gov 10 Married-civ-spouse Husband 0
29 Private 7 Never-married Unmarried 0
35 Private 9 Married-civ-spouse Husband 1
48 Private 9 Married-civ-spouse Husband 0
38 Private 9 Never-married Not-in-family 0
42 Local-gov 9 Divorced Unmarried 0
53 Private 10 Widowed Unmarried 0
29 Private 15 Never-married Not-in-family 0
59 Private 13 Married-civ-spouse Husband 0
31 Private 9 Never-married Unmarried 0
34 Private 9 Married-civ-spouse Husband 0
51 Private 13 Divorced Not-in-family 1
25 Private 9 Never-married Own-child 0
30 Private 9 Married-civ-spouse Husband 1
46 Private 9 Divorced Not-in-family 0
45 Private 9 Never-married Unmarried 0
23 Private 10 Never-married Other-relative 0
33 Private 12 Divorced Not-in-family 0
44 Private 13 Married-civ-spouse Wife 1
25 Private 9 Never-married Own-child 0
48 State-gov 10 Divorced Own-child 0
23 Private 9 Never-married Not-in-family 0
33 Self-emp-not-inc 11 Married-civ-spouse Wife 1
20 Private 10 Married-civ-spouse Other-relative 0
23 Private 13 Never-married Not-in-family 0
71 Private 9 Widowed Not-in-family 0
22 State-gov 13 Never-married Not-in-family 0
36 Private 13 Married-civ-spouse Husband 1
27 Private 7 Never-married Other-relative 0
40 Private 9 Never-married Not-in-family 0
30 Private 10 Divorced Unmarried 0
30 State-gov 11 Married-civ-spouse Husband 0
30 Private 10 Married-civ-spouse Husband 0
